Sample ID,Number of contigs,N50 value,Number of total reads,% of reads Unclassified,% of reads Escherichia.coli,Continet of isolation,Country of isolation,Host spieces,DataBase,Date of isolation,Ampicillin,Cefotaxime,Ceftazidime,Cefuroxime,Cephalothin,Ciprofloxacin,Gentamycin,Tobramycin,Trimethoprim
24742_1#104,63,8,725124,3.61,49.18,North America,Mexico,Perognathus penicillatus,Souza,1999,S,S,S,S,S,S,S,S,S
24742_1#106,48,5,708924,1.52,85.93,North America,Mexico,Sigmodon mascotensis,Souza,1999,S,S,S,S,S,S,S,S,S
24742_1#107,75,9,715058,2.65,46.65,North America,Mexico,Tapirus bairdii ,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#110,37,6,979446,2.82,46.26,North America,Mexico,Peromyscus sp.,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#111,106,8,790477,1.29,52.17,South America,Venezuela,Tapirus terrestris ,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#113,28,5,831730,2.08,86.89,North America,Mexico,Philander opossum,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#114,61,9,826941,2.1,48.67,North America,Mexico,Trichechus manatus ,Souza,1999,S,S,S,S,S,S,S,S,S
24742_1#118,130,18,860886,3.49,53.88,North America,Mexico,Procyon lotor,Souza,1999,S,S,S,S,S,S,S,S,S
24742_1#119,61,9,924284,2.12,48.6,North America,Mexico,Trichechus manatus ,Souza,1999,S,S,S,S,S,S,S,S,S
24742_1#22,63,8,877591,3.95,49.05,North America,Mexico,Perognathus penicillatus,Souza,1999,S,S,S,S,S,S,S,S,S
24742_1#23,41,6,870195,1.38,87.76,North America,Mexico,Tapirus bairdii ,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#24,46,5,715368,1.53,83,North America,Mexico,Urocyon cinereoargenteus,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#27,43,8,753267,0.83,49.25,North America,Mexico,Canis familiaris,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#28,89,7,831999,3.54,82.38,North America,Mexico,Peromyscus boylii,Souza,1999,S,S,S,S,S,S,S,S,S
24742_1#29,4771,29,634725,37.63,11.75,North America,Mexico,Empidonax sp. ,Souza,1999,R,S,R,S,S,S,S,S,R
24742_1#295,96,13,781120,3.69,49.14,North America,Mexico,Romerolagus diazi,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#298,105,10,839399,6.13,45.35,North America,Mexico,Liomys pictus ,Souza,1999,R,S,S,S,S,S,S,S,S
24742_1#299,72,5,803059,2.47,77.06,North America,Mexico,Ovis aries ,Souza,1999,S,S,S,S,S,S,S,S,S
24742_1#30,35,4,776944,3.48,51.45,North America,Mexico,Tapirus bairdii ,Souza,1999,S,S,S,S,S,S,S,S,S
24742_1#305,129,15,488248,1.26,55.51,NF,NF,Dasypus sp. ,Souza,1999,S,S,S,S,S,S,S,S,S
24742_1#306,188,21,724516,2.47,48.58,North America,Mexico,Odocoeileus virginianus ,Souza,1999,R,S,S,S,S,S,S,S,S
