Isolate,Genus,Order,mdf(A) ,mph(A,fosA,fosA7,sul1,sul2,tet(A),tet(B),aac(3)-Via,aadA1,aadA5,aph(3')-Ia,aph(3'')-Ib,aph(6)-Id,blaTEM-1B,catA1,dfrA8,dfrA17,"Nalidixic acid,Ciprofloxacin","Erythromycin,Azithromycin,Telithromycin"
24742_1#104,Perognathus,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#106,Sigmodon,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#107,Tapirus,Perissodactyla,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
24742_1#110,Peromyscus,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#111,Tapirus,Perissodactyla,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#113,Philander,Didelphimorphia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#114,Trichechus,Sirenia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#118,Procyon,Carnivora,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#119,Trichechus,Sirenia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#22,Perognathus,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#23,Tapirus,Perissodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#24,Urocyon,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#27,Canis,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#28,Peromyscus,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#295,Romerolagus,Lagomorpha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#298,Heteromys,Rodentia,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#299,Ovis,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#30,Tapirus,Perissodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#305,Dasypus,Cingulata,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
24742_1#306,Odocoileus,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#307,Homo,Primates,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#308,Odocoileus,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#309,Canis,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#31,Urocyon,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#310,Tlacuatzin,Didelphimorphia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#311,Leptonycteris,Chiroptera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#312,Oryctolagus,Lagomorpha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#313,Leptonycteris,Chiroptera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#314,Nasua,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#315,Ovis,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#316,Nasua,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#317,Heteromys,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#34,Peromyscus,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24742_1#35,Sigmodon,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#36,Tapirus,Perissodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#37,Urocyon,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#41,Peromyscus,Rodentia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#42,Sula,Suliformes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#43,Tapirus,Perissodactyla,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#44,Bos,Artiodactyla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#48,Dasypus,Cingulata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#49,Heteromys,Rodentia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#50,Sus,Artiodactyla,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#51,Pecari,Artiodactyla,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0
24742_1#59,Basileuterus,Passeriformes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#60,Canis,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#61,Felis,Carnivora,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
24742_1#62,Panthera,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#63,Bassariscus,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#64,Didelphis,Didelphimorphia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#65,Felis,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#66,Oryctolagus,Lagomorpha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#67,Canis,Carnivora,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0
24742_1#68,Didelphis,Didelphimorphia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#69,Felis,Carnivora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
