Isolate,Order,Genus,Spieces,aaiC,aap,aar,aatA,agg,ailA,air,astA,capU,cba,cdtB,celb,cif,cma,cnf1,eae,efa1,ehxA,eilA,esp,etpD,f17,gad,iha,IpfA,ireA,iroN,iss,katP,ltcA,mch,mcmA,nle,pic,sat,senB,sepA,sfaS,stx,tccP,tir,vat
24742_1#104,Rodentia,Perognathus,Perognathus penicillatus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24742_1#106,Rodentia,Sigmodon,Sigmodon mascotensis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24742_1#107,Perissodactyla,Tapirus,Tapirus bairdii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#110,Rodentia,Peromyscus,Peromyscus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#111,Perissodactyla,Tapirus,Tapirus terrestris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#113,Didelphimorphia,Philander,Philander opossum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24742_1#114,Sirenia,Trichechus,Trichechus manatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#118,Carnivora,Procyon,Procyon lotor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#119,Sirenia,Trichechus,Trichechus manatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24742_1#22,Rodentia,Perognathus,Perognathus penicillatus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24742_1#23,Perissodactyla,Tapirus,Tapirus bairdii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24742_1#24,Carnivora,Urocyon,Urocyon cinereoargenteus,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
